## RunInfo	version:1.0.3	nmap_idx:53793034	nunmap_idx:0	annotated_features:13545	total_fragments:53793034	pair_mapped:53685806	pair_mixed:107228	single_mapped:0	unmapped:0	unique:53793034	ambig:0	overlap_unique:195989	overlap_ambig:0
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
L1FLnI_10p11.22u	10178	9011	9011.00	0.0636	9011	9011	9011	9011	9011.00	0.0636
L1FLnI_Xq13.3pa	8895	4997	4997.00	0.0167	4997	4997	4997	4997	4997.00	0.0167
L1FLnI_12q13.11a	10137	4968	4968.00	0.0351	4968	4968	4968	4968	4968.00	0.0351
L1FLnI_Xq23d	10025	4023	4023.00	0.0174	4023	4023	4023	4023	4023.00	0.0174
L1FLnI_Xq13.1a	10407	3794	3794.00	0.0145	3794	3794	3794	3794	3794.00	0.0145
L1FLnI_12q23.3d	10138	3394	3394.00	0.0135	3394	3394	3394	3394	3394.00	0.0135
L1FLnI_6p22.3e	9889	3239	3239.00	0.0232	3239	3239	3239	3239	3239.00	0.0232
L1FLnI_14q32.12f	9876	2008	2008.00	0.00911	2008	2008	2008	2008	2008.00	0.00911
L1FLnI_8q23.1b	10144	1793	1793.00	0.00712	1793	1793	1793	1793	1793.00	0.00712
L1FLnI_1p31.1rc	10009	1772	1772.00	0.00691	1772	1772	1772	1772	1772.00	0.00691
L1FLnI_2q32.1f	10168	1671	1671.00	0.00862	1671	1671	1671	1671	1671.00	0.00862
L1FLnI_8q24.12o	10785	1545	1545.00	0.00711	1545	1545	1545	1545	1545.00	0.00711
L1FLnI_1p22.1d	10082	1488	1488.00	0.00592	1488	1488	1488	1488	1488.00	0.00592
L1FLnI_3q21.1c	10178	1284	1284.00	0.0046	1284	1284	1284	1284	1284.00	0.0046
L1FLnI_6q21f	8527	1277	1277.00	0.0134	1277	1277	1277	1277	1277.00	0.0134
L1FLnI_6q24.2g	9494	1212	1212.00	0.00702	1212	1212	1212	1212	1212.00	0.00702
L1FLnI_Xq28sa	9220	1174	1174.00	0.00388	1174	1174	1174	1174	1174.00	0.00388
L1FLnI_6q25.3e	9025	1157	1157.00	0.00397	1157	1157	1157	1157	1157.00	0.00397
L1FLnI_4q35.2k	10076	1058	1058.00	0.00838	1058	1058	1058	1058	1058.00	0.00838
L1FLnI_5q33.1a	8804	1029	1029.00	0.0116	1029	1029	1029	1029	1029.00	0.0116
L1FLnI_18q21.32b	8591	1021	1021.00	0.0111	1021	1021	1021	1021	1021.00	0.0111
L1FLnI_10p12.33a	9099	989	989.00	0.0038	989	989	989	989	989.00	0.0038
L1FLnI_1q24.3e	10088	918	918.00	0.00428	918	918	918	918	918.00	0.00428
L1FLnI_6q22.1ka	8979	900	900.00	0.00685	900	900	900	900	900.00	0.00685
L1FLnI_12p13.32g	10346	890	890.00	0.0125	890	890	890	890	890.00	0.0125
L1FLnI_5p13.2v	10102	831	831.00	0.00304	831	831	831	831	831.00	0.00304
L1FLnI_14q11.2j	10146	811	811.00	0.00276	811	811	811	811	811.00	0.00276
L1FLnI_19q13.11a	10082	791	791.00	0.00905	791	791	791	791	791.00	0.00905
L1FLnI_15q22.2a	9845	761	761.00	0.00292	761	761	761	761	761.00	0.00292
L1FLnI_3q12.1c	10035	761	761.00	0.00234	761	761	761	761	761.00	0.00234
L1FLnI_9p11.2d	8887	728	728.00	0.00283	728	728	728	728	728.00	0.00283
L1FLnI_19q13.31b	9109	728	728.00	0.00194	728	728	728	728	728.00	0.00194
L1FLnI_3q13.33d	10076	711	711.00	0.0039	711	711	711	711	711.00	0.0039
L1FLnI_18p11.22g	9823	696	696.00	0.00322	696	696	696	696	696.00	0.00322
L1FLnI_14q11.2c	8958	686	686.00	0.00194	686	686	686	686	686.00	0.00194
L1FLnI_1q32.2g	10085	672	672.00	0.014	672	672	672	672	672.00	0.014
L1FLnI_1q21.2f	10104	668	668.00	0.00495	668	668	668	668	668.00	0.00495
L1FLnI_15q23j	8814	668	668.00	0.0021	668	668	668	668	668.00	0.0021
L1FLnI_12q23.3g	10425	667	667.00	0.00246	667	667	667	667	667.00	0.00246
L1FLnI_20q13.13	10155	664	664.00	0.00496	664	664	664	664	664.00	0.00496
L1FLnI_7q32.1	10128	657	657.00	0.00183	657	657	657	657	657.00	0.00183
L1FLnI_2q22.3s	9432	610	610.00	5.29e-19	610	610	610	610	610.00	5.29e-19
L1FLnI_3p21.2m	10076	609	609.00	0.00364	609	609	609	609	609.00	0.00364
L1FLnI_9q22.32c	10020	601	601.00	0.00282	601	601	601	601	601.00	0.00282
L1FLnI_8q23.1y	8951	588	588.00	0.00249	588	588	588	588	588.00	0.00249
L1FLnI_8p23.1h	10133	587	587.00	0.00465	587	587	587	587	587.00	0.00465
L1FLnI_14q12ya	9227	587	587.00	0.00227	587	587	587	587	587.00	0.00227
L1FLnI_2q11.1b	10108	584	584.00	0.00715	584	584	584	584	584.00	0.00715
L1FLnI_2q36.2	8911	575	575.00	0.00399	575	575	575	575	575.00	0.00399
L1FLnI_6q15i	10111	556	556.00	0.00664	556	556	556	556	556.00	0.00664
L1FLnI_16p11.2l	8706	549	549.00	0.00223	549	549	549	549	549.00	0.00223
L1FLnI_16p12.2b	9648	548	548.00	0.0052	548	548	548	548	548.00	0.0052
L1FLnI_14q11.2d	8959	534	534.00	0.00203	534	534	534	534	534.00	0.00203
L1FLnI_7q33b	9844	531	531.00	0.00272	531	531	531	531	531.00	0.00272
L1FLnI_7p15.3e	11544	525	525.00	0.00315	525	525	525	525	525.00	0.00315
L1FLnI_3q26.2a	10022	519	519.00	0.00311	519	519	519	519	519.00	0.00311
L1FLnI_1q32.1k	10156	517	517.00	0.00151	517	517	517	517	517.00	0.00151
L1FLnI_2q14.1ga	10142	514	514.00	0.00202	514	514	514	514	514.00	0.00202
L1FLnI_1q42.2c	10662	502	502.00	0.00242	502	502	502	502	502.00	0.00242
L1FLnI_9q13d	10021	495	495.00	0.00172	495	495	495	495	495.00	0.00172
L1FLnI_Xq23ab	9388	494	494.00	0.00177	494	494	494	494	494.00	0.00177
L1FLnI_13q34a	10121	493	493.00	0.00214	493	493	493	493	493.00	0.00214
L1FLnI_4q12eb	10127	492	492.00	0.00194	492	492	492	492	492.00	0.00194
L1FLnI_15q11.2h	9308	487	487.00	0.00162	487	487	487	487	487.00	0.00162
L1FLnI_6q14.1ia	10013	473	473.00	0.00527	473	473	473	473	473.00	0.00527
L1FLnI_15q11.1e	9501	470	470.00	0.00161	470	470	470	470	470.00	0.00161
L1FLnI_1q31.2m	9510	470	470.00	0.00161	470	470	470	470	470.00	0.00161
L1FLnI_10q26.12g	10020	470	470.00	0.00137	470	470	470	470	470.00	0.00137
L1FLnI_4q31.1e	10020	468	468.00	0.0061	468	468	468	468	468.00	0.0061
L1FLnI_5p12k	10146	466	466.00	0.00281	466	466	466	466	466.00	0.00281
L1FLnI_4q13.2o	10138	457	457.00	0.00338	457	457	457	457	457.00	0.00338
L1FLnI_5q15z	10910	444	444.00	0.0015	444	444	444	444	444.00	0.0015
L1FLnI_12q21.31ea	9629	441	441.00	0.00165	441	441	441	441	441.00	0.00165
L1FLnI_Xq21.1oc	10173	440	440.00	0.00159	440	440	440	440	440.00	0.00159
L1FLnI_11q22.2a	10025	438	438.00	0.0043	438	438	438	438	438.00	0.0043
L1FLnI_5q13.3b	10137	430	430.00	0.0039	430	430	430	430	430.00	0.0039
L1FLnI_Xq25q	10410	428	428.00	0.00541	428	428	428	428	428.00	0.00541
L1FLnI_8q22.3j	10157	427	427.00	0.00421	427	427	427	427	427.00	0.00421
L1FLnI_20p11.23d	10099	420	420.00	0.00178	420	420	420	420	420.00	0.00178
L1FLnI_9p21.3i	8506	419	419.00	0.00262	419	419	419	419	419.00	0.00262
L1FLnI_12p11.23e	10135	413	413.00	0.00492	413	413	413	413	413.00	0.00492
L1FLnI_8q11.23n	10128	413	413.00	0.00169	413	413	413	413	413.00	0.00169
L1FLnI_3q26.32p	9463	405	405.00	0.00128	405	405	405	405	405.00	0.00128
L1FLnI_6q14.2j	10334	402	402.00	0.00367	402	402	402	402	402.00	0.00367
L1FLnI_22q11.1c	8959	401	401.00	0.000947	401	401	401	401	401.00	0.000947
L1FLnI_11q13.5b	10032	395	395.00	0.00157	395	395	395	395	395.00	0.00157
L1FLnI_10q22.3h	8797	392	392.00	0.00353	392	392	392	392	392.00	0.00353
L1FLnI_10q25.3l	10440	387	387.00	0.00326	387	387	387	387	387.00	0.00326
L1FLnI_7q22.1f	8645	386	386.00	0.00144	386	386	386	386	386.00	0.00144
L1FLnI_Xq23bb	10718	380	380.00	0.00137	380	380	380	380	380.00	0.00137
L1FLnI_1p31.3y	10109	355	355.00	0.00109	355	355	355	355	355.00	0.00109
L1FLnI_8q24.13n	10149	354	354.00	0.00124	354	354	354	354	354.00	0.00124
L1FLnI_22q12.1c	10146	353	353.00	0.00145	353	353	353	353	353.00	0.00145
L1FLnI_15q11.1f	9299	345	345.00	0.00143	345	345	345	345	345.00	0.00143
L1FLnI_2p13.1a	10196	345	345.00	0.00113	345	345	345	345	345.00	0.00113
L1FLnI_Xq21.1pc	8997	341	341.00	0.00227	341	341	341	341	341.00	0.00227
L1FLnI_12p13.33a	9682	340	340.00	0.00197	340	340	340	340	340.00	0.00197
L1FLnI_11q14.1s	10120	335	335.00	0.00377	335	335	335	335	335.00	0.00377
L1FLnI_3q13.33x	10446	332	332.00	0.00232	332	332	332	332	332.00	0.00232
L1FLnI_6q25.3i	10140	327	327.00	0.00114	327	327	327	327	327.00	0.00114
L1FLnI_5p13.1r	10150	323	323.00	0.00104	323	323	323	323	323.00	0.00104
L1FLnI_16q12.1n	10070	320	320.00	0.00301	320	320	320	320	320.00	0.00301
L1FLnI_11p15.2f	10115	319	319.00	0.00132	319	319	319	319	319.00	0.00132
L1FLnI_9p11.2f	10021	319	319.00	0.00109	319	319	319	319	319.00	0.00109
L1FLnI_20q11.22	10108	318	318.00	0.0024	318	318	318	318	318.00	0.0024
L1FLnI_5q31.1l	9298	315	315.00	0.000946	315	315	315	315	315.00	0.000946
L1FLnI_2p13.2a	10026	313	313.00	0.0035	313	313	313	313	313.00	0.0035
L1FLnI_9p11.2e	10035	310	310.00	0.00306	310	310	310	310	310.00	0.00306
L1FLnI_8p21.2m	9966	306	306.00	0.00251	306	306	306	306	306.00	0.00251
L1FLnI_11q21b	10076	304	304.00	0.0019	304	304	304	304	304.00	0.0019
L1FLnI_6p22.1b	10468	301	301.00	0.00106	301	301	301	301	301.00	0.00106
L1FLnI_1q42.12a	9137	301	301.00	0.00103	301	301	301	301	301.00	0.00103
L1FLnI_Xq26.3h	10460	296	296.00	0.00117	296	296	296	296	296.00	0.00117
L1FLnI_10q23.31a	10176	291	291.00	0.00106	291	291	291	291	291.00	0.00106
L1FLnI_1p32.3h	10119	285	285.00	0.00106	285	285	285	285	285.00	0.00106
L1FLnI_1p11.2g	10131	285	285.00	0.000892	285	285	285	285	285.00	0.000892
L1FLnI_1q42.2b	8826	280	280.00	0.00254	280	280	280	280	280.00	0.00254
L1FLnI_Xq26.2a	10034	274	274.00	0.00108	274	274	274	274	274.00	0.00108
L1FLnI_6q16.3c	10149	273	273.00	0.00262	273	273	273	273	273.00	0.00262
L1FLnI_2p21b	10151	273	273.00	0.00203	273	273	273	273	273.00	0.00203
L1FLnI_13q14.11g	10026	273	273.00	0.000467	273	273	273	273	273.00	0.000467
L1FLnI_8q11.21f	10134	270	270.00	0.000967	270	270	270	270	270.00	0.000967
L1FLnI_5p13.3x	8907	270	270.00	0.000728	270	270	270	270	270.00	0.000728
L1FLnI_4q24za	10375	269	269.00	0.000991	269	269	269	269	269.00	0.000991
L1FLnI_5q31.1d	9859	268	268.00	0.00129	268	268	268	268	268.00	0.00129
L1FLnI_Xq13.1ja	10125	267	267.00	0.0026	267	267	267	267	267.00	0.0026
L1FLnI_8q21.3da	9918	266	266.00	0.0037	266	266	266	266	266.00	0.0037
L1FLnI_9p21.1la	10143	263	263.00	0.000835	263	263	263	263	263.00	0.000835
L1FLnI_2q37.1e	10108	261	261.00	0.000935	261	261	261	261	261.00	0.000935
L1FLnI_2q22.3d	8589	258	258.00	0.000856	258	258	258	258	258.00	0.000856
L1FLnI_6q24.2j	10431	255	255.00	0.00168	255	255	255	255	255.00	0.00168
L1FLnI_7p15.3g	10015	253	253.00	0.00209	253	253	253	253	253.00	0.00209
L1FLnI_9p21.1z	10283	253	253.00	0.000815	253	253	253	253	253.00	0.000815
L1FLnI_12p12.1h	10447	252	252.00	0.000922	252	252	252	252	252.00	0.000922
L1FLnI_3q22.3e	9181	248	248.00	0.00193	248	248	248	248	248.00	0.00193
L1FLnI_1q25.1h	10495	245	245.00	0.00218	245	245	245	245	245.00	0.00218
L1FLnI_4q28.1la	10381	245	245.00	0.000868	245	245	245	245	245.00	0.000868
L1FLnI_15q21.2m	8605	241	241.00	0.00128	241	241	241	241	241.00	0.00128
L1FLI_16p12.3b	8046	240	240.00	0.00196	240	240	240	240	240.00	0.00196
L1FLnI_1q25.1o	10214	240	240.00	0.00165	240	240	240	240	240.00	0.00165
L1FLnI_5q14.1h	10024	238	238.00	0.00194	238	238	238	238	238.00	0.00194
L1FLnI_11q13.5c	9352	237	237.00	0.000979	237	237	237	237	237.00	0.000979
L1FLnI_10q22.2e	10136	232	232.00	0.000829	232	232	232	232	232.00	0.000829
L1FLnI_8p21.2p	10130	229	229.00	0.000785	229	229	229	229	229.00	0.000785
L1FLnI_5q31.3a	9826	227	227.00	0.0021	227	227	227	227	227.00	0.0021
L1FLnI_13q22.3a	10033	226	226.00	0.00222	226	226	226	226	226.00	0.00222
L1FLnI_2p23.3a	10100	226	226.00	0.00093	226	226	226	226	226.00	0.00093
L1FLnI_1q24.3l	10139	225	225.00	0.00176	225	225	225	225	225.00	0.00176
L1FLnI_5q13.3h	10032	223	223.00	0.0016	223	223	223	223	223.00	0.0016
L1FLnI_6q22.1v	9334	223	223.00	0.00011	223	223	223	223	223.00	0.00011
L1FLnI_2q14.1ha	9588	222	222.00	0.00135	222	222	222	222	222.00	0.00135
L1FLnI_4q28.1a	10162	222	222.00	0.00122	222	222	222	222	222.00	0.00122
L1FLnI_2q11.2e	10151	221	221.00	0.00101	221	221	221	221	221.00	0.00101
L1FLnI_7q11.21v	10030	220	220.00	0.00122	220	220	220	220	220.00	0.00122
L1FLnI_6q22.1u	10450	219	219.00	0.000811	219	219	219	219	219.00	0.000811
L1FLnI_4p15.31r	10152	218	218.00	0.000832	218	218	218	218	218.00	0.000832
L1FLnI_11q13.5h	9091	217	217.00	0.00136	217	217	217	217	217.00	0.00136
L1FLnI_5q15o	10456	214	214.00	0.000951	214	214	214	214	214.00	0.000951
L1FLnI_12q12db	10104	213	213.00	0.00254	213	213	213	213	213.00	0.00254
L1FLnI_5q14.1c	10139	213	213.00	0.000924	213	213	213	213	213.00	0.000924
L1FLnI_7q32.3a	10473	212	212.00	0.000722	212	212	212	212	212.00	0.000722
L1FLnI_5q14.1f	9204	211	211.00	0.00108	211	211	211	211	211.00	0.00108
L1FLnI_5q33.1b	10112	210	210.00	0.00236	210	210	210	210	210.00	0.00236
L1FLnI_1p22.2q	10141	210	210.00	0.000753	210	210	210	210	210.00	0.000753
L1FLnI_14q23.3q	8520	209	209.00	0.00117	209	209	209	209	209.00	0.00117
L1FLnI_1q42.12b	10094	209	209.00	0.000835	209	209	209	209	209.00	0.000835
L1FLnI_1p21.3b	9229	208	208.00	0.00268	208	208	208	208	208.00	0.00268
L1FLnI_8q11.21d	8578	208	208.00	0.000843	208	208	208	208	208.00	0.000843
L1FLnI_6p12.3h	8638	207	207.00	0.00159	207	207	207	207	207.00	0.00159
L1FLnI_2q14.2m	11266	205	205.00	0.00164	205	205	205	205	205.00	0.00164
L1FLnI_1p22.2r	9238	205	205.00	0.000828	205	205	205	205	205.00	0.000828
L1FLnI_1q44b	10142	205	205.00	0.000682	205	205	205	205	205.00	0.000682
L1FLnI_4q24qa	8547	204	204.00	0.000661	204	204	204	204	204.00	0.000661
L1FLnI_3p25.1i	10106	203	203.00	0.000784	203	203	203	203	203.00	0.000784
L1FLnI_4p15.31o	8731	201	201.00	0.000734	201	201	201	201	201.00	0.000734
L1FLnI_12q13.11y	9174	199	199.00	0.00255	199	199	199	199	199.00	0.00255
L1FLnI_1p12s	10016	199	199.00	0.000742	199	199	199	199	199.00	0.000742
L1FLnI_2q35h	10126	198	198.00	0.000696	198	198	198	198	198.00	0.000696
L1FLnI_7q31.33h	10118	197	197.00	0.00175	197	197	197	197	197.00	0.00175
L1FLnI_8q22.2h	10137	195	195.00	0.00168	195	195	195	195	195.00	0.00168
L1FLnI_7q22.1e	10163	194	194.00	0.000793	194	194	194	194	194.00	0.000793
L1FLnI_5q22.1j	10028	193	193.00	0.00183	193	193	193	193	193.00	0.00183
L1FLnI_12q23.1b	10028	192	192.00	0.00139	192	192	192	192	192.00	0.00139
L1FLnI_22q11.23b	8886	191	191.00	0.000686	191	191	191	191	191.00	0.000686
L1FLnI_11p15.3c	9916	190	190.00	0.00163	190	190	190	190	190.00	0.00163
L1FLnI_4q26ua	10013	189	189.00	0.00132	189	189	189	189	189.00	0.00132
L1FLnI_2q14.2l	9518	188	188.00	0.00274	188	188	188	188	188.00	0.00274
L1FLnI_10q22.2f	10155	187	187.00	0.000639	187	187	187	187	187.00	0.000639
L1FLnI_10q21.1pa	10098	186	186.00	0.00168	186	186	186	186	186.00	0.00168
L1FLnI_9q33.2b	9506	185	185.00	0.00075	185	185	185	185	185.00	0.00075
L1FLnI_2q12.2b	10032	184	184.00	0.00179	184	184	184	184	184.00	0.00179
L1FLnI_15q22.31a	9032	183	183.00	0.00143	183	183	183	183	183.00	0.00143
L1FLnI_10p11.22f	10154	181	181.00	0.00147	181	181	181	181	181.00	0.00147
L1FLnI_4q28.2l	8959	180	180.00	0.000592	180	180	180	180	180.00	0.000592
L1FLnI_Xq13.2z	10114	179	179.00	0.00136	179	179	179	179	179.00	0.00136
L1FLnI_1q44c	9186	179	179.00	0.000601	179	179	179	179	179.00	0.000601
L1FLnI_Xp11.22ka	9320	178	178.00	0.000635	178	178	178	178	178.00	0.000635
L1FLnI_6q16.3na	10111	177	177.00	0.00166	177	177	177	177	177.00	0.00166
L1FLnI_19q13.31d	9711	177	177.00	0.00115	177	177	177	177	177.00	0.00115
L1FLnI_13q14.2u	10315	176	176.00	0.00181	176	176	176	176	176.00	0.00181
L1FLnI_19q11c	10148	176	176.00	0.000644	176	176	176	176	176.00	0.000644
L1FLnI_5q31.3b	9425	175	175.00	0.00175	175	175	175	175	175.00	0.00175
L1FLnI_16p12.3b	9830	174	174.00	0.000729	174	174	174	174	174.00	0.000729
